35fl_01;;dNCDch_pho50;;240920.002_fluor_02;;240920.002_phos_03;
Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Wavelength (nm);Intensity (a.u.);Wavelength (nm);Intensity (a.u.)
0.453700006;290.621521;0.8968849778;338.0434875;389.0700073;30.77108192;478.0499878;593.5521851
0.458709985;293.4370728;0.9069049954;336.2926636;390;28.82522964;480;543.1616821
0.4637199938;285.2410583;0.9169250131;333.239502;391.0700073;26.05572319;481.9599915;522.8469238
0.4687300026;285.0656128;0.9269449711;332.7864075;392;24.32432365;483.9299927;501.696167
0.4737399817;291.45224;0.9369649887;330.7025146;393.0700073;22.52026749;486.0599976;448.9891357
0.4787499905;286.0328979;0.9469850063;329.8475037;394;21.10287094;488.0299988;423.0327759
0.4837599993;285.7337646;0.9570049644;327.5127563;395.0700073;19.19320869;490;416.5553894
0.4887700081;274.9829407;0.967024982;326.7638855;396;17.52974129;491.9400024;448.5115967
0.4937799871;279.5354004;0.9770449996;324.5309753;397.0700073;16.20384026;494.019989;516.2290039
0.4987899959;278.9793091;0.9870650172;323.3041382;398;15.75120354;495.9700012;591.423584
0.5037999749;279.1013489;0.9970849752;321.4322205;399.0700073;14.21867752;498.0499878;721.192688
0.5088099837;273.102478;1.007104993;319.3143005;400;13.00161552;500;833.1355591
0.5138199925;266.9494934;1.01712501;318.3990173;401.0599976;12.46830082;501.9599915;922.7426758
0.5188300014;265.2643433;1.027145028;316.008606;401.9599915;11.85101509;503.9299927;963.2210693
0.5238400102;269.1189575;1.037165046;315.1086731;403.0299988;10.67771626;506.0599976;984.4279785
0.528850019;264.7561646;1.047184944;313.2032471;403.9299927;10.38419533;508.0299988;941.3929443
0.5338599682;264.8577271;1.057204962;310.7541199;405;9.440857887;510;936.1723022
0.538869977;261.7956848;1.067224979;310.09021;406.0599976;9.057896614;511.9400024;781.1143799
0.5438799858;254.6347351;1.077244997;307.7017822;406.9599915;8.589994431;514.0200195;705.8843994
0.5488899946;250.1156769;1.087265015;307.035675;408.0299988;8.238509178;515.9699707;649.7844238
0.5539000034;258.3913574;1.097285032;304.7926331;408.9299927;7.858350754;518.0499878;592.1966553
0.5589100122;250.9261475;1.10730505;303.200531;410;7.704191208;520;550.2455444
0.5639200211;252.4963379;1.117324948;302.0387268;411.0700073;7.374511242;521.9400024;511.1464233
0.5689299703;253.3838806;1.127344966;299.5363159;412;7.564264297;524.0200195;461.0567017
0.5739399791;245.040741;1.137364984;297.8489685;413.0700073;7.560483456;525.9699707;438.4873047
0.5789499879;252.8860321;1.147385001;296.634613;414;6.910049438;528.0499878;422.5551758
0.5839599967;251.2751007;1.157405019;295.1360779;415.0700073;6.948646545;530;416.414978
0.5889700055;245.2386169;1.167425036;294.3760376;416;7.080297947;531.9400024;428.0125732
0.5939800143;245.7714539;1.177444935;292.0507202;417.0700073;6.530169487;534.0200195;446.0670776
0.5989900231;242.4827118;1.187464952;291.3322144;418;6.437811375;535.9699707;469.8217163
0.6039999723;239.0643616;1.19748497;289.0745544;419.0700073;6.829947948;538.0499878;505.1271973
0.6090099812;235.8697205;1.207504988;286.8064575;420;6.31989336;540;520.2944336
0.61401999;238.1341248;1.217525005;286.2492371;421.0599976;6.318458557;542.0499878;524.0206909
0.6190299988;238.0855408;1.227545023;284.56427;421.9599915;5.910311699;543.9699707;533.661438
0.6240400076;238.3453064;1.237565041;283.5856323;423.0299988;5.57688427;546.0200195;514.7456055
0.6290500164;240.7858124;1.247584939;281.7875366;423.9299927;4.9945755;547.9400024;476.57901
0.6340600252;238.1481934;1.257604957;280.5378113;425;4.636754036;550;447.4562988
0.6390699744;239.3590088;1.267624974;278.9977722;426.0599976;4.07494545;551.9400024;409.6078491
0.6440799832;231.752655;1.277644992;277.5854187;426.9599915;3.914131403;554.0200195;371.3072205
0.649089992;229.5374756;1.287665009;275.7390442;428.0299988;3.333594799;555.9699707;331.0742188
0.6541000009;221.0974426;1.297685027;274.1466675;428.9299927;2.774264574;558.0499878;312.4777832
0.6591100097;222.904129;1.307705045;273.6532593;430;2.827372074;560;286.6965637
0.6641200185;219.0550995;1.317724943;271.9021912;431.0700073;2.562173367;562.0499878;253.6304321
0.6691299677;227.2035675;1.327744961;270.7120056;432;2.710959196;563.9699707;238.8743744
0.6741399765;223.3606262;1.337764978;269.252594;433.0700073;2.655401468;566.0200195;220.8648071
0.6791499853;220.4230652;1.347784996;267.9710083;434;2.357368708;567.9400024;205.2067261
0.6841599941;218.7667542;1.357805014;265.9867249;435.0700073;2.621874332;570;193.817337
0.6891700029;217.7721863;1.367825031;265.2185059;436;2.292075872;571.9400024;182.6004333
0.6941800117;221.2146301;1.377845049;263.3671265;437.0700073;2.188685656;574.0200195;172.7069244
0.6991900206;214.6105957;1.387864947;262.6716919;438;1.96905756;575.9699707;172.5699615
0.7041999698;214.2556152;1.397884965;260.9674377;439.0700073;2.25880003;578.0499878;174.2520142
0.7092099786;213.5069885;1.407904983;260.0913086;440;1.858736038;580;172.3002625
0.7142199874;210.6660919;1.417925;257.870636;441.0599976;2.044867992;582.0499878;171.1032104
0.7192299962;209.3778076;1.427945018;256.2533264;441.9599915;2.302379131;583.9699707;167.9969788
0.724240005;205.6081085;1.437965035;255.4775085;443.0299988;1.835695386;586.0200195;170.2263031
0.7292500138;203.0495911;1.447984934;254.8470764;443.9299927;1.730317593;587.9400024;166.0280151
0.7342600226;207.8293152;1.458004951;253.1574707;445;1.774366617;590;159.7045135
0.7392699718;213.9034424;1.468024969;251.1725311;446.0599976;1.831981063;592.0499878;152.6460876
0.7442799807;203.1345062;1.478044987;249.8234558;446.9599915;1.867529988;593.9699707;149.0898285
0.7492899895;199.0102844;1.488065004;248.6833191;448.0299988;1.750227094;596.0200195;135.5708923
0.7542999983;199.0780182;1.498085022;247.3009491;448.9299927;1.713524103;597.9400024;125.9066772
0.7593100071;208.048172;1.50810504;246.1223145;450;1.564618826;600;112.6160583
0.7643200159;197.049408;1.518124938;245.3195496;451.0599976;1.573613644;602.0200195;102.4570313
0.7693299651;198.788559;1.528144956;243.8026123;451.9599915;1.532869101;604.0499878;96.58824921
0.7743399739;197.8215942;1.538164973;242.2918396;453.0299988;1.584786057;605.9400024;88.41313171
0.7793499827;193.2034149;1.548184991;242.180542;453.9299927;1.315410852;607.9699707;81.09536743
0.7843599916;194.997818;1.558205009;240.7181702;455;1.400882363;610;76.53012848
0.7893700004;189.5836792;1.568225026;238.9626007;456.0599976;1.221603155;612.0499878;69.76716614
0.7943800092;191.3056335;1.578245044;237.9633789;456.9599915;1.496814013;613.9699707;62.50200272
0.799390018;192.5282288;1.588264942;235.8124542;458.0299988;1.600341439;616.0200195;57.63282013
0.8043999672;185.3711395;1.59828496;234.9651337;458.9299927;1.366411924;617.9400024;54.22771454
0.809409976;189.1689301;1.608304977;234.2011414;460;1.108718395;620;50.80854416
0.8144199848;190.1649628;1.618324995;232.4784851;461.0599976;1.182806969;622.0200195;47.72526932
0.8194299936;187.4434509;1.628345013;231.7182922;461.9599915;1.327261448;624.0499878;43.98574448
0.8244400024;184.0516052;1.63836503;230.143631;463.0299988;1.273689508;625.9400024;42.6141777
0.8294500113;182.7720032;1.648385048;229.8184509;463.9299927;1.089580536;627.9699707;40.45768356
0.8344600201;179.0415344;1.658404946;228.0713806;465;1.204953671;630;39.03520966
0.8394699693;186.2585449;1.668424964;227.6110077;466.0599976;1.047814608;632.0200195;37.83504486
0.8444799781;177.8629456;1.678444982;225.3381653;466.9599915;0.9391981363;634.0499878;35.38474655
0.8494899869;180.9832306;1.688464999;224.0912781;468.0299988;1.209764481;635.9400024;34.48194885
0.8544999957;180.0086823;1.698485017;223.7840881;468.9299927;1.029159546;637.9699707;34.04739761
0.8595100045;174.2991943;1.708505034;222.1482239;470;1.312363267;640;33.33583832
0.8645200133;175.0623627;1.718524933;221.1978455;471.0400085;1.027068973;642.0200195;31.04683304
0.8695300221;181.4587097;1.72854495;220.0023651;471.9400024;0.9554706216;644.0499878;31.62252808
0.8745399714;175.8547211;1.738564968;218.9088898;472.980011;1.116682291;645.9400024;29.21757507
0.8795499802;171.1160889;1.748584986;217.6925507;474.019989;1.196000576;647.9699707;27.23721695
0.884559989;172.9522552;1.758605003;217.1095276;475.0700073;0.8424983025;650;25.28881073
0.8895699978;172.6152039;1.768625021;215.5123291;475.9700012;0.9595581293;652.0200195;24.46890259
0.8945800066;167.6606445;1.778645039;214.8174591;477.0100098;1.103117466;654.0499878;22.53106689
0.8995900154;170.1526489;1.788664937;213.4082031;478.0499878;0.8446293473;655.9400024;20.05209541
0.9045999646;175.4419556;1.798684955;212.2544403;478.9500122;1.126760602;657.9699707;18.84396744
0.9096099734;162.7061768;1.808704972;211.5519714;480;0.9633911252;660;16.6156559
0.9146199822;166.030777;1.81872499;210.3166199;481.0599976;0.9967547655;662;15.4712801
0.9196299911;168.1405945;1.828745008;209.1182861;481.9599915;0.9442276359;664;14.65196419
0.9246399999;166.1817474;1.838765025;207.406662;483.0299988;0.8805085421;666;13.33872318
0.9296500087;168.7831116;1.848785043;206.9621277;483.9299927;0.8257305622;668;12.42259979
0.9346600175;167.1908112;1.858804941;205.5663147;485;0.8241434693;670;11.71274757
0.9396699667;161.0846863;1.868824959;204.7187347;486.0599976;0.8951661587;672;10.75190735
0.9446799755;161.5495911;1.878844976;203.4101868;486.9599915;0.7941679955;674;9.993013382
